model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.7537260468417317,0.5238095238095238,0.7941176470588235,0.6312433581296493,0.8416350202795215
Régression logistique,0.7395315826827538,0.5060449050086355,0.7834224598930482,0.614900314795383,0.8405435428453332
Arbre de décision,0.751596877217885,0.5214285714285715,0.7807486631016043,0.6252676659528907,0.8318930997959132
